127.0.0.1 - - [20/Feb/2023:20:40:44 -0500] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:40:45 -0500] "GET /PackSimulator/ HTTP/1.1" 200 4800
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:40:46 -0500] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:41:10 -0500] "GET /PackSimulator/pack;jsessionid=400192378608BD73B2B443536687D841?packs=Lost+Origin&quantity=36 HTTP/1.1" 200 8172
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:42:29 -0500] "GET /PackSimulator/pack?packs=Astral+Radiance&quantity=36 HTTP/1.1" 200 8232
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:42:47 -0500] "GET /PackSimulator/pack?packs=Silver+Tempest&quantity=36 HTTP/1.1" 200 8174
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:42:54 -0500] "GET /PackSimulator/pack?packs=Silver+Tempest&quantity=36 HTTP/1.1" 200 8142
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:42:58 -0500] "GET /PackSimulator/pack?packs=Silver+Tempest&quantity=36 HTTP/1.1" 200 8166
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:43:08 -0500] "GET /PackSimulator/pack?packs=Silver+Tempest&quantity=36 HTTP/1.1" 200 8189
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:43:14 -0500] "GET /PackSimulator/pack?packs=Silver+Tempest&quantity=36 HTTP/1.1" 200 8186
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:43:19 -0500] "GET /PackSimulator/pack?packs=Silver+Tempest&quantity=36 HTTP/1.1" 200 8171
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:43:23 -0500] "GET /PackSimulator/pack?packs=Silver+Tempest&quantity=36 HTTP/1.1" 200 8163
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:43:26 -0500] "GET /PackSimulator/pack?packs=Silver+Tempest&quantity=36 HTTP/1.1" 200 8185
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:43:30 -0500] "GET /PackSimulator/pack?packs=Silver+Tempest&quantity=36 HTTP/1.1" 200 8179
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:43:33 -0500] "GET /PackSimulator/pack?packs=Silver+Tempest&quantity=36 HTTP/1.1" 200 8190
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:43:40 -0500] "GET /PackSimulator/pack?packs=Silver+Tempest&quantity=36 HTTP/1.1" 200 8211
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:43:44 -0500] "GET /PackSimulator/pack?packs=Silver+Tempest&quantity=36 HTTP/1.1" 200 8172
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:43:47 -0500] "GET /PackSimulator/pack?packs=Silver+Tempest&quantity=36 HTTP/1.1" 200 8228
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:43:49 -0500] "GET /PackSimulator/pack?packs=Silver+Tempest&quantity=36 HTTP/1.1" 200 8156
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:43:52 -0500] "GET /PackSimulator/pack?packs=Silver+Tempest&quantity=36 HTTP/1.1" 200 8179
0:0:0:0:0:0:0:1 - - [20/Feb/2023:20:43:54 -0500] "GET /PackSimulator/pack?packs=Silver+Tempest&quantity=36 HTTP/1.1" 200 8184
